,Date,Chicago,Opponent,Quarter,Time,Score,Team,Action,Substitution,Player,Lineup,Points,Game
257,"November 9, 2021",Home,Carthage,1,06:05,49-27,Away,"THISTLE,EMMA enters the game",1,Emma Thistle,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Elizabeth Shaw, Klaire Steffens, Marissa Powe",0,1
258,"November 9, 2021",Home,Carthage,1,06:05,49-27,Away,"ESTER,AYANNA goes to the bench",1,Ayanna Ester,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Elizabeth Shaw, Klaire Steffens, Marissa Powe",0,1
259,"November 9, 2021",Home,Carthage,1,05:49,49-27,Home,"Foul by SHAW,ELIZABETH",0,Elizabeth Shaw,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Elizabeth Shaw, Klaire Steffens, Marissa Powe",0,1
260,"November 9, 2021",Home,Carthage,1,05:30,49-27,Away,"BARRETT,BRIDGET missed layup",0,Bridget Barrett,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Elizabeth Shaw, Klaire Steffens, Marissa Powe",0,1
261,"November 9, 2021",Home,Carthage,1,05:27,49-27,Home,"VAN SOEST,PEYTON defensive rebound",0,Peyton Soest,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Elizabeth Shaw, Klaire Steffens, Marissa Powe",0,1
262,"November 9, 2021",Home,Carthage,1,04:58,49-27,Home,"VAN SOEST,PEYTON missed 3-pt. jump shot",0,Peyton Soest,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Elizabeth Shaw, Klaire Steffens, Marissa Powe",0,1
263,"November 9, 2021",Home,Carthage,1,04:56,49-27,Away,"COSHUN,KELSEY defensive rebound",0,Kelsey Coshun,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Elizabeth Shaw, Klaire Steffens, Marissa Powe",0,1
264,"November 9, 2021",Home,Carthage,1,04:56,49-27,Away,"Turnover by COSHUN,KELSEY",0,Kelsey Coshun,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Elizabeth Shaw, Klaire Steffens, Marissa Powe",0,1
265,"November 9, 2021",Home,Carthage,1,04:56,49-27,Home,20SEC TIMEOUT by Chicago,0,,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Elizabeth Shaw, Klaire Steffens, Marissa Powe",0,1
266,"November 9, 2021",Home,Carthage,1,04:56,49-27,Home,"GAO,ASHLEY enters the game",1,Ashley Gao,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Elizabeth Shaw, Klaire Steffens, Marissa Powe, Ashley Gao",0,1
267,"November 9, 2021",Home,Carthage,1,04:56,49-27,Home,"GROSS,ELLIE enters the game",1,Ellie Gross,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Elizabeth Shaw, Klaire Steffens, Marissa Powe, Ashley Gao, Ellie Gross",0,1
268,"November 9, 2021",Home,Carthage,1,04:56,49-27,Home,"STEFFENS,KLAIRE goes to the bench",1,Klaire Steffens,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Elizabeth Shaw, Marissa Powe, Ashley Gao, Ellie Gross",0,1
269,"November 9, 2021",Home,Carthage,1,04:56,49-27,Home,"SHAW,ELIZABETH goes to the bench",1,Elizabeth Shaw,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
270,"November 9, 2021",Home,Carthage,1,04:56,49-27,Away,"EBELING,ADDISON enters the game",1,Addison Ebeling,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
271,"November 9, 2021",Home,Carthage,1,04:56,49-27,Away,"MORRISSEY,MARIANNA enters the game",1,Marianna Morrissey,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
272,"November 9, 2021",Home,Carthage,1,04:56,49-27,Away,"COSHUN,KELSEY goes to the bench",1,Kelsey Coshun,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
273,"November 9, 2021",Home,Carthage,1,04:56,49-27,Away,"HERRMANN,LAUREN goes to the bench",1,Lauren Herrmann,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
274,"November 9, 2021",Home,Carthage,1,04:50,49-27,Home,"Turnover by VAN SOEST,PEYTON",0,Peyton Soest,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
275,"November 9, 2021",Home,Carthage,1,04:50,49-27,Away,"Steal by MORRISSEY,MARIANNA",0,Marianna Morrissey,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
276,"November 9, 2021",Home,Carthage,1,04:33,49-27,Away,"Turnover by KNIGHT,LAUREN",0,Lauren Knight,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
277,"November 9, 2021",Home,Carthage,1,04:21,49-27,Home,"Foul by GAO,ASHLEY",0,Ashley Gao,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
278,"November 9, 2021",Home,Carthage,1,04:21,49-27,Home,"Turnover by GAO,ASHLEY",0,Ashley Gao,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
279,"November 9, 2021",Home,Carthage,1,04:06,49-30,Away,"KNIGHT,LAUREN made 3-pt. jump shot",0,Lauren Knight,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",3,1
280,"November 9, 2021",Home,Carthage,1,04:06,49-30,Away,"Assist by MORRISSEY,MARIANNA",0,Marianna Morrissey,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
281,"November 9, 2021",Home,Carthage,1,03:51,49-30,Home,"VAN SOEST,PEYTON missed jump shot",0,Peyton Soest,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
282,"November 9, 2021",Home,Carthage,1,03:50,49-30,Away,TEAM defensive rebound,0,,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
283,"November 9, 2021",Home,Carthage,1,03:24,49-30,Away,"THISTLE,EMMA missed layup",0,Emma Thistle,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
284,"November 9, 2021",Home,Carthage,1,03:21,49-30,Home,"BRODNIK,MALLORY defensive rebound",0,Mallory Brodnik,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
285,"November 9, 2021",Home,Carthage,1,02:59,49-30,Home,"VAN SOEST,PEYTON missed jump shot",0,Peyton Soest,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
286,"November 9, 2021",Home,Carthage,1,02:57,49-30,Away,"BARRETT,BRIDGET defensive rebound",0,Bridget Barrett,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
287,"November 9, 2021",Home,Carthage,1,02:45,49-32,Away,"BARRETT,BRIDGET made layup",0,Bridget Barrett,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",2,1
288,"November 9, 2021",Home,Carthage,1,02:21,49-32,Home,"GROSS,ELLIE missed 3-pt. jump shot",0,Ellie Gross,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
289,"November 9, 2021",Home,Carthage,1,02:18,49-32,Away,"EBELING,ADDISON defensive rebound",0,Addison Ebeling,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
290,"November 9, 2021",Home,Carthage,1,02:04,49-34,Away,"EBELING,ADDISON made layup",0,Addison Ebeling,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",2,1
291,"November 9, 2021",Home,Carthage,1,02:04,49-34,Away,"Assist by BARRETT,BRIDGET",0,Bridget Barrett,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
292,"November 9, 2021",Home,Carthage,1,02:04,49-34,Home,30SEC TIMEOUT by Chicago,0,,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross",0,1
293,"November 9, 2021",Home,Carthage,1,02:04,49-34,Home,"HYNES,GRACE enters the game",1,Grace Hynes,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes",0,1
294,"November 9, 2021",Home,Carthage,1,02:04,49-34,Home,"STEFFENS,KLAIRE enters the game",1,Klaire Steffens,"Peyton Van Soest, Mallory Brodnik, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",0,1
295,"November 9, 2021",Home,Carthage,1,02:04,49-34,Home,"BRODNIK,MALLORY goes to the bench",1,Mallory Brodnik,"Peyton Van Soest, Peyton Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",0,1
296,"November 9, 2021",Home,Carthage,1,02:04,49-34,Home,"VAN SOEST,PEYTON goes to the bench",1,Peyton Soest,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",0,1
297,"November 9, 2021",Home,Carthage,1,02:04,49-34,Away,"ESTER,AYANNA enters the game",1,Ayanna Ester,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",0,1
298,"November 9, 2021",Home,Carthage,1,02:04,49-34,Away,"KNIGHT,LAUREN goes to the bench",1,Lauren Knight,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",0,1
299,"November 9, 2021",Home,Carthage,1,01:43,52-34,Home,"STEFFENS,KLAIRE made 3-pt. jump shot",0,Klaire Steffens,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",3,1
300,"November 9, 2021",Home,Carthage,1,01:43,52-34,Home,"Assist by HYNES,GRACE",0,Grace Hynes,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",0,1
301,"November 9, 2021",Home,Carthage,1,01:30,52-34,Home,"Foul by GROSS,ELLIE",0,Ellie Gross,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",0,1
302,"November 9, 2021",Home,Carthage,1,01:30,52-34,Away,"HERRMANN,LAUREN enters the game",1,Lauren Herrmann,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",0,1
303,"November 9, 2021",Home,Carthage,1,01:30,52-34,Away,"ESTER,AYANNA goes to the bench",1,Ayanna Ester,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",0,1
304,"November 9, 2021",Home,Carthage,1,01:23,52-34,Home,"Foul by GAO,ASHLEY",0,Ashley Gao,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",0,1
305,"November 9, 2021",Home,Carthage,1,01:06,52-34,Away,"THISTLE,EMMA missed 3-pt. jump shot",0,Emma Thistle,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",0,1
306,"November 9, 2021",Home,Carthage,1,01:02,52-34,Home,"STEFFENS,KLAIRE defensive rebound",0,Klaire Steffens,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",0,1
307,"November 9, 2021",Home,Carthage,1,00:47,55-34,Home,"POWE,MARISSA made 3-pt. jump shot",0,Marissa Powe,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",3,1
308,"November 9, 2021",Home,Carthage,1,00:47,55-34,Home,"Assist by GAO,ASHLEY",0,Ashley Gao,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",0,1
309,"November 9, 2021",Home,Carthage,1,00:30,55-36,Away,"MORRISSEY,MARIANNA made jump shot",0,Marianna Morrissey,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",2,1
310,"November 9, 2021",Home,Carthage,1,00:04,55-36,Away,"Foul by HERRMANN,LAUREN",0,Lauren Herrmann,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",0,1
311,"November 9, 2021",Home,Carthage,1,00:04,56-36,Home,"HYNES,GRACE made free throw",0,Grace Hynes,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",1,1
312,"November 9, 2021",Home,Carthage,1,00:04,56-36,Home,"HYNES,GRACE missed free throw",0,Grace Hynes,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",0,1
313,"November 9, 2021",Home,Carthage,1,00:04,56-36,Away,"EBELING,ADDISON defensive rebound",0,Addison Ebeling,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",0,1
314,"November 9, 2021",Home,Carthage,1,00:04,56-36,Away,"KNIGHT,LAUREN enters the game",1,Lauren Knight,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",0,1
315,"November 9, 2021",Home,Carthage,1,00:04,56-36,Away,"THISTLE,EMMA goes to the bench",1,Emma Thistle,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens",0,1
316,"November 9, 2021",Home,Carthage,1,10:00,56-36,Home,"BRODNIK,MALLORY enters the game",1,Mallory Brodnik,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens, Mallory Brodnik",0,1
317,"November 9, 2021",Home,Carthage,1,10:00,56-36,Home,"VAN SOEST,PEYTON enters the game",1,Peyton Soest,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest",0,1
318,"November 9, 2021",Home,Carthage,1,10:00,56-36,Home,"SHAW,ELIZABETH enters the game",1,Elizabeth Shaw,"Peyton Van Soest, Marissa Powe, Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
319,"November 9, 2021",Home,Carthage,1,10:00,56-36,Home,"GAO,ASHLEY goes to the bench",1,Ashley Gao,"Peyton Van Soest, Marissa Powe, Ellie Gross, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
320,"November 9, 2021",Home,Carthage,1,10:00,56-36,Home,"GROSS,ELLIE goes to the bench",1,Ellie Gross,"Peyton Van Soest, Marissa Powe, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
321,"November 9, 2021",Home,Carthage,1,10:00,56-36,Home,"POWE,MARISSA goes to the bench",1,Marissa Powe,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
322,"November 9, 2021",Home,Carthage,1,09:40,56-36,Away,"Foul by BARRETT,BRIDGET",0,Bridget Barrett,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
323,"November 9, 2021",Home,Carthage,1,09:36,56-36,Home,"VAN SOEST,PEYTON missed layup",0,Peyton Soest,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
324,"November 9, 2021",Home,Carthage,1,09:33,56-36,Away,"BARRETT,BRIDGET defensive rebound",0,Bridget Barrett,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
325,"November 9, 2021",Home,Carthage,1,09:22,56-36,Away,"EBELING,ADDISON missed layup",0,Addison Ebeling,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
326,"November 9, 2021",Home,Carthage,1,09:19,56-36,Home,"STEFFENS,KLAIRE defensive rebound",0,Klaire Steffens,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
327,"November 9, 2021",Home,Carthage,1,09:01,56-36,Home,"Turnover by STEFFENS,KLAIRE",0,Klaire Steffens,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
328,"November 9, 2021",Home,Carthage,1,09:01,56-36,Away,"COSHUN,KELSEY enters the game",1,Kelsey Coshun,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
329,"November 9, 2021",Home,Carthage,1,09:01,56-36,Away,"EBELING,ADDISON goes to the bench",1,Addison Ebeling,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
330,"November 9, 2021",Home,Carthage,1,08:46,56-36,Away,"MORRISSEY,MARIANNA missed jump shot",0,Marianna Morrissey,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
331,"November 9, 2021",Home,Carthage,1,08:43,56-36,Home,"HYNES,GRACE defensive rebound",0,Grace Hynes,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
332,"November 9, 2021",Home,Carthage,1,08:20,59-36,Home,"HYNES,GRACE made 3-pt. jump shot",0,Grace Hynes,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",3,1
333,"November 9, 2021",Home,Carthage,1,08:20,59-36,Home,"Assist by BRODNIK,MALLORY",0,Mallory Brodnik,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
334,"November 9, 2021",Home,Carthage,1,08:01,59-38,Away,"MORRISSEY,MARIANNA made layup",0,Marianna Morrissey,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",2,1
335,"November 9, 2021",Home,Carthage,1,07:46,62-38,Home,"VAN SOEST,PEYTON made 3-pt. jump shot",0,Peyton Soest,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",3,1
336,"November 9, 2021",Home,Carthage,1,07:46,62-38,Home,"Assist by STEFFENS,KLAIRE",0,Klaire Steffens,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
337,"November 9, 2021",Home,Carthage,1,07:31,62-38,Home,"Foul by BRODNIK,MALLORY",0,Mallory Brodnik,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
338,"November 9, 2021",Home,Carthage,1,07:31,62-39,Away,"HERRMANN,LAUREN made free throw",0,Lauren Herrmann,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",1,1
339,"November 9, 2021",Home,Carthage,1,07:31,62-40,Away,"HERRMANN,LAUREN made free throw",0,Lauren Herrmann,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",1,1
340,"November 9, 2021",Home,Carthage,1,07:31,62-40,Away,"ESTER,AYANNA enters the game",1,Ayanna Ester,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
341,"November 9, 2021",Home,Carthage,1,07:31,62-40,Away,"MORRISSEY,MARIANNA goes to the bench",1,Marianna Morrissey,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
342,"November 9, 2021",Home,Carthage,1,07:10,62-40,Home,"BRODNIK,MALLORY missed jump shot",0,Mallory Brodnik,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
343,"November 9, 2021",Home,Carthage,1,07:06,62-40,Away,"HERRMANN,LAUREN defensive rebound",0,Lauren Herrmann,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
344,"November 9, 2021",Home,Carthage,1,06:58,62-40,Away,"Turnover by KNIGHT,LAUREN",0,Lauren Knight,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
345,"November 9, 2021",Home,Carthage,1,06:52,62-40,Home,"Foul by BRODNIK,MALLORY",0,Mallory Brodnik,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
346,"November 9, 2021",Home,Carthage,1,06:52,62-40,Home,"Turnover by BRODNIK,MALLORY",0,Mallory Brodnik,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
347,"November 9, 2021",Home,Carthage,1,06:52,62-40,Away,"THISTLE,EMMA enters the game",1,Emma Thistle,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
348,"November 9, 2021",Home,Carthage,1,06:52,62-40,Away,"KNIGHT,LAUREN goes to the bench",1,Lauren Knight,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
349,"November 9, 2021",Home,Carthage,1,06:21,62-40,Away,"COSHUN,KELSEY missed layup",0,Kelsey Coshun,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
350,"November 9, 2021",Home,Carthage,1,06:18,62-40,Home,"SHAW,ELIZABETH defensive rebound",0,Elizabeth Shaw,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
351,"November 9, 2021",Home,Carthage,1,06:01,64-40,Home,"BRODNIK,MALLORY made jump shot",0,Mallory Brodnik,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",2,1
352,"November 9, 2021",Home,Carthage,1,06:01,64-40,Home,"Assist by SHAW,ELIZABETH",0,Elizabeth Shaw,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
353,"November 9, 2021",Home,Carthage,1,05:49,64-40,Away,"Turnover by BARRETT,BRIDGET",0,Bridget Barrett,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
354,"November 9, 2021",Home,Carthage,1,05:49,64-40,Away,"ANTOINE,DESTINY enters the game",1,Destiny Antoine,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
355,"November 9, 2021",Home,Carthage,1,05:49,64-40,Away,"BARRETT,BRIDGET goes to the bench",1,Bridget Barrett,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
356,"November 9, 2021",Home,Carthage,1,05:25,64-40,Home,"Turnover by VAN SOEST,PEYTON",0,Peyton Soest,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
357,"November 9, 2021",Home,Carthage,1,05:25,64-40,Away,"Steal by COSHUN,KELSEY",0,Kelsey Coshun,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
358,"November 9, 2021",Home,Carthage,1,05:25,64-40,Home,"Foul by STEFFENS,KLAIRE",0,Klaire Steffens,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw",0,1
359,"November 9, 2021",Home,Carthage,1,05:25,64-40,Home,"GROSS,ELLIE enters the game",1,Ellie Gross,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Elizabeth Shaw, Ellie Gross",0,1
360,"November 9, 2021",Home,Carthage,1,05:25,64-40,Home,"SHAW,ELIZABETH goes to the bench",1,Elizabeth Shaw,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Ellie Gross",0,1
361,"November 9, 2021",Home,Carthage,1,05:09,64-42,Away,"ANTOINE,DESTINY made layup",0,Destiny Antoine,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Ellie Gross",2,1
362,"November 9, 2021",Home,Carthage,1,05:09,64-42,Away,"Assist by HERRMANN,LAUREN",0,Lauren Herrmann,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Ellie Gross",0,1
363,"November 9, 2021",Home,Carthage,1,04:54,64-42,Home,"Turnover by STEFFENS,KLAIRE",0,Klaire Steffens,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Ellie Gross",0,1
364,"November 9, 2021",Home,Carthage,1,04:54,64-42,Away,"Steal by HERRMANN,LAUREN",0,Lauren Herrmann,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Ellie Gross",0,1
365,"November 9, 2021",Home,Carthage,1,04:40,64-44,Away,"COSHUN,KELSEY made layup",0,Kelsey Coshun,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Ellie Gross",2,1
366,"November 9, 2021",Home,Carthage,1,04:40,64-44,Away,"Assist by HERRMANN,LAUREN",0,Lauren Herrmann,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Ellie Gross",0,1
367,"November 9, 2021",Home,Carthage,1,04:20,67-44,Home,"HYNES,GRACE made 3-pt. jump shot",0,Grace Hynes,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Ellie Gross",3,1
368,"November 9, 2021",Home,Carthage,1,04:20,67-44,Home,"Assist by GROSS,ELLIE",0,Ellie Gross,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Ellie Gross",0,1
369,"November 9, 2021",Home,Carthage,1,04:05,67-44,Away,"Foul by THISTLE,EMMA",0,Emma Thistle,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Ellie Gross",0,1
370,"November 9, 2021",Home,Carthage,1,04:05,67-44,Away,"Turnover by THISTLE,EMMA",0,Emma Thistle,"Peyton Van Soest, Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Soest, Ellie Gross",0,1
